Month,PeopleUS,PeopleW
Apr-10,8600926,19020118
May-10,9512435,21096692
Jun-10,10510566,22496896
Jul-10,11502011,24571154
Aug-10,12490288,27744680
Sep-10,12697970,30076088
Oct-10,13682499,31175164
Nov-10,14876519,33880472
Dec-10,15356831,34924704
Jan-11,17550350,41301888
Feb-11,19523976,47274360
Mar-11,20740012,51564920
Apr-11,23773100,58317276
May-11,25171076,61791824
Jun-11,27704266,65738312
Jul-11,28396444,68923552
Aug-11,30696310,72821928
Sep-11,29613140,73609824
Oct-11,32875280,78024504
Nov-11,34233752,82445192
Dec-11,40312588,92087096
Jan-12,43024632,102296752
Feb-12,47092508,109841544
Mar-12,43849896,104106168
Apr-12,47386080,115758448
May-12,44912904,113899360
Jun-12,38781812,108543472
Jul-12,40276592,112769072
Aug-12,44583532,120256160
Sep-12,44356548,124390192
Oct-12,48589760,134480224
Nov-12,53148696,147525568
Dec-12,51739476,145602464
Jan-13,52908104,146146144
Feb-13,51339176,140544144
Mar-13,45887920,136447584
Apr-13,46370232,138832112
May-13,44818252,136477904
